CustAge,Months,CredLim
48,37,34516
51,38,9648
52,40,34516
55,35,3025
34,26,3265
56,36,6041
44,36,2293
47,36,13399
46,38,4317
43,29,3378
50,36,5012
38,30,2569
53,45,3471
43,31,34516
53,36,3312
56,38,2578
54,44,2902
57,39,2742
62,53,2077
46,40,6265
49,44,7819
52,42,2731
58,36,1438.3
54,36,16286
49,39,34516
58,47,2609
52,45,7567
41,33,22770
62,50,3791
54,39,2702
40,35,2555
43,26,2355
53,42,5332
55,49,1443
46,39,10741
41,25,7984
49,32,18584
61,56,5585
46,38,34516
50,43,1438.3
40,24,2478
51,46,34516
50,44,2339
47,36,2726
43,39,14881
36,36,1628
47,34,3156
46,41,4745
46,36,19727
52,36,22720
43,36,8129
40,27,3751
54,36,1594
55,43,2569
49,44,18206
45,34,3104
49,41,2406
63,36,24571
40,36,15534
41,33,12301
37,26,2846
58,49,9788
55,36,7231
53,48,2324
57,40,12208
43,30,5639
58,46,10021
64,56,2215
54,44,2027
53,47,6363
39,25,3920
56,36,9226
54,49,9376
59,46,1944
42,36,9599
42,28,28202
43,39,24850
55,49,3805
52,37,2733
46,27,12781
57,40,3106
48,42,7477
45,33,34516
48,36,29963
47,36,6509
42,34,13450
41,36,27000
51,31,34516
55,47,6347
67,49,3106
39,31,2536
54,35,13048
55,37,2453
47,36,16138
49,38,8077
42,23,1929
57,36,3127
44,36,8645
56,49,1438.3
49,38,2185
45,32,24487
63,36,2567
44,33,4131
44,37,10790
40,33,6884
39,36,13961
42,30,29801
54,43,13219
58,46,2536
46,36,9478
47,34,3502
67,56,10509
50,36,1491
55,46,9734
46,22,2305
47,36,14241
36,25,4789
40,34,23138
57,38,23008
48,36,3131
58,53,5798
48,36,6880
48,41,34516
53,34,2075
50,44,4589
52,40,2317
53,45,1981
56,47,6038
44,32,14910
49,39,29659
54,42,4320
39,36,11213
39,29,26181
41,31,5773
53,36,4503
47,36,29770
46,28,5014
53,47,3445
60,50,23412
59,46,3044
38,29,14596
56,36,3864
35,29,17030
50,44,23090
53,36,29205
63,49,14035
43,24,2962
46,30,18578
61,46,2201
37,25,2061
42,23,24602
41,29,15911
56,50,16867
56,37,2783
52,47,2972
40,36,5124
63,53,2880
58,46,5579
58,44,12010
46,36,34516
37,29,4394
46,35,18325
46,37,3773
41,29,21684
48,40,1919
49,33,9995
44,35,11910
39,36,2279
57,48,3539
48,36,30579
47,42,24480
56,52,17561
54,40,1638
54,36,2947
52,42,5738
43,34,33304
59,48,7251
44,34,2885
56,36,2641
45,35,2801
55,45,16794
48,41,9336
56,43,2763
41,36,17391
65,36,3198
34,26,5100
56,39,3955
62,48,3140
45,36,4028
38,32,2264
49,44,21620
58,45,6385
41,31,2375
33,13,1963
47,37,4256
56,49,5097
51,45,3228
49,41,20231
50,39,27512
55,47,1929
26,13,2585
58,47,12151
46,42,34516
48,31,34516
42,32,5504
37,28,10021
63,49,3558
50,44,19853
41,31,4969
48,40,3117
46,41,21526
61,51,5504
59,53,5512
53,39,1438.3
39,28,7262
51,40,7319
45,25,1438.3
48,30,7712
47,37,2053
41,32,12804
48,36,26443
50,36,3125
56,48,4930
39,36,9476
47,37,11722
44,33,13301
61,47,1438.3
43,37,1438.3
59,36,6705
42,31,22718
40,28,23981
65,56,2318
48,29,19324
44,34,5331
36,31,15700
45,30,17625
39,34,17438
40,25,1962
62,56,8077
26,13,3290
60,53,2402
54,42,9256
62,36,3674
57,50,6462
59,48,1638
46,38,4335
44,32,3233
48,36,11862
43,24,34516
57,38,19802
46,36,24869
40,36,3624
54,36,6175
57,48,10953
44,28,11338
47,35,5544
47,36,19665
50,43,2927
53,33,5146
56,44,1704
55,46,1438.3
53,36,2974
61,49,5472
57,38,2736
50,37,1438.3
56,45,5406
52,44,34516
60,36,1976
49,40,8714
46,41,8693
42,36,9247
45,33,7717
45,38,4908
44,38,7222
61,48,21740
55,44,2323
44,29,7788
55,36,1438.3
57,36,23700
45,40,11710
57,45,2278
31,22,4048
34,24,3663
53,36,1438.3
35,28,3518
44,36,1717
50,45,16813
33,25,16434
50,45,21872
51,41,15897
56,46,4271
55,29,7361
26,36,1438.3
42,33,8628
54,44,18750
44,36,21242
65,56,2961
38,29,11327
58,40,8308
39,28,3249
52,36,2981
45,31,8829
42,33,3714
42,28,7340
57,51,16952
55,35,20865
44,25,3083
37,24,10584
50,42,2240
51,40,12240
37,21,5120
36,24,3124
51,36,11261
65,56,2468
43,28,22157
46,32,11477
43,33,3933
56,50,8022
43,34,13771
53,48,30271
50,41,3244
43,36,2936
54,36,1438.3
33,25,6242
58,49,6175
41,26,11806
48,39,4734
55,36,6244
54,45,1438.3
51,34,34516
35,24,23561
50,36,24742
55,41,27560
45,35,5923
34,36,8581
55,41,3156
48,36,7151
46,35,1535
61,56,2122
48,35,17131
51,42,5822
39,29,3537
43,33,34516
53,47,16320
38,36,2407
49,43,3538
37,31,2684
53,36,34516
46,40,15459
44,36,4307
50,46,2081
58,47,2848
55,51,34516
44,35,6361
57,38,15428
57,48,2544
48,42,9959
51,39,8796
53,48,3428
45,36,1438.3
41,32,18001
51,42,2680
46,35,4675
40,35,2448
33,28,4049
53,38,8154
63,36,4559
61,36,19354
56,46,2340
53,47,13848
62,52,2490
50,36,32156
37,30,2578
62,52,9050
49,41,34516
57,51,8362
55,36,6514
50,42,4051
48,37,11959
60,48,2070
46,32,11840
47,35,3636
54,36,11067
53,40,11262
56,36,5108
56,36,2072
41,24,4119
60,42,5903
40,25,7860
49,36,5918
46,41,6741
36,36,3880
57,45,2494
38,23,22149
50,36,34516
62,51,5450
43,35,1438.3
44,24,2003
39,32,7723
38,23,18226
44,39,8128
43,32,5851
54,40,10260
38,32,26945
55,36,2243
42,36,34516
56,45,12248
59,50,1438.3
46,28,19843
55,45,2163
52,41,33864
39,26,4531
42,26,2950
43,23,7706
47,36,25657
42,36,17536
39,24,3770
50,45,10344
57,51,26437
41,30,2450
52,36,3136
43,36,6976
42,36,21134
58,53,2019
42,34,34516
55,45,9959
38,28,20241
40,28,2421
48,37,30948
32,22,2642
33,36,8070
58,48,4085
26,19,2187
46,36,34516
39,29,3358
36,25,1888
43,24,14447
45,26,32349
51,36,12605
62,36,2964
58,38,3785
42,36,2727
49,44,3343
53,35,9786
45,36,6407
29,15,4158
60,50,21697
50,40,31383
53,36,30883
45,38,12918
50,37,8520
46,34,14310
61,53,14434
46,36,7793
62,56,8990
43,33,4343
54,50,2872
50,36,9697
35,21,2967
35,23,2148
36,36,6116
42,36,18085
39,32,2524
50,45,33951
43,35,3312
39,20,9956
47,36,3888
60,48,30655
30,23,2997
44,24,11042
52,41,3386
45,36,15987
40,30,25188
36,23,2410
65,53,4315
35,24,2592
54,49,5476
53,43,2464
62,44,2378
40,21,20056
41,36,8013
53,49,3386
30,17,7906
46,34,11501
29,19,13632
37,27,2229
51,40,5158
31,21,2158
45,41,23271
57,36,10244
43,30,2588
44,27,10747
53,46,7474
32,36,3555
53,38,22140
54,36,9457
42,35,6218
38,25,2580
44,39,1438.3
54,43,6224
37,36,3093
48,42,4076
55,36,4861
43,36,9851
37,26,7349
34,28,2853
46,36,17023
32,24,10060
53,41,1595
46,38,8475
38,25,5559
31,22,2917
38,36,6692
46,28,8551
47,36,10569
47,36,7051
56,46,10117
47,36,8311
47,41,26442
64,51,4920
37,25,1438.3
42,29,26750
41,34,34516
65,36,1438.3
49,41,1869
54,36,14539
46,36,26977
50,36,5426
50,34,7623
48,39,4844
62,52,2683
39,22,3214
46,39,5374
41,33,8004
39,31,1438.3
46,34,2925
39,35,9235
44,24,8837
57,29,8801
40,28,3563
65,36,8138
26,20,1438.3
47,33,2458
47,34,4592
57,45,1438.3
31,36,1868
54,49,5269
43,36,20156
39,35,7410
53,44,12163
44,37,6224
59,49,4250
53,40,12059
34,28,2799
47,36,18037
54,43,5657
42,33,13770
53,44,4646
50,35,2514
56,51,14501
43,36,8663
44,36,2333
34,26,3038
61,52,8851
54,44,2945
49,40,5267
56,45,8512
47,36,19063
53,33,5376
30,13,7772
39,29,9173
44,35,34516
54,36,11975
46,36,15405
43,38,2615
35,25,23991
39,31,1888
61,54,3102
40,29,3170
53,36,34516
55,41,14938
41,24,17298
35,36,3131
61,47,11915
51,39,16868
42,35,3266
46,30,2770
46,40,3556
46,35,9149
26,19,1438.3
46,35,14701
62,44,14825
55,49,10127
55,45,2929
32,24,3735
37,18,2930
33,29,12716
42,32,22120
33,22,1438.3
60,36,4546
65,47,1759
57,36,4829
59,47,7692
45,39,2156
62,36,9521
51,41,26714
57,47,2092
38,32,11594
32,19,2834
43,37,4724
51,47,3049
50,36,20614
64,54,3250
53,36,3128
42,30,6414
53,34,2506
52,47,7469
60,36,3460
30,19,9959
43,39,4175
60,48,10264
46,36,4129
65,45,2658
44,33,4589
56,36,2781
45,39,24880
37,31,8504
48,39,8091
37,30,3417
39,22,9204
41,32,14302
55,45,3187
34,36,6313
52,47,15904
54,39,11696
40,36,20371
52,41,34516
45,33,7552
61,53,5561
57,52,1441
51,33,19715
60,52,2486
48,44,4570
34,13,3870
49,36,12938
53,36,21178
34,36,12182
54,42,3583
40,27,17018
49,41,16031
41,36,4203
46,36,4213
46,33,21548
30,36,18513
59,36,2483
50,38,3460
49,36,6511
45,40,1438.3
53,36,2615
42,35,2985
46,28,18797
33,22,2859
46,38,2888
61,36,9172
42,34,14281
47,39,7353
47,36,5145
53,36,4753
46,26,2171
26,36,4150
45,41,9106
36,36,2686
42,38,10239
52,36,34516
37,25,15017
53,43,4426
65,52,2155
47,34,20620
38,19,3238
52,46,14316
36,36,2607
43,24,6231
38,30,3730
65,56,3094
51,41,6630
40,22,1925
39,36,33406
39,30,2917
60,47,9452
43,29,2162
31,18,1438.3
55,42,34516
65,54,2888
54,44,3947
40,31,15970
38,27,1830
36,29,7712
43,36,20811
41,31,11789
50,37,3073
48,36,34516
39,26,34516
55,46,6725
44,39,2978
42,36,34516
54,46,34516
57,36,24545
53,46,1438.3
41,31,2490
39,24,10074
45,40,2259
46,35,34516
54,50,9519
40,36,3706
48,40,4438
56,51,1438.3
33,36,2372
44,34,4214
62,53,1438.3
33,36,2613
36,26,4331
46,27,3665
61,49,1438.3
41,28,4411
42,37,15871
35,27,12643
65,36,6088
36,27,13873
42,32,6158
51,41,5638
54,40,2178
40,22,12588
40,34,11942
57,44,3914
57,49,3038
53,47,5579
40,31,18693
28,18,2943
38,28,2435
37,30,2077
65,36,5756
58,45,21065
41,30,9428
54,47,6065
39,21,5024
26,13,2174
60,54,3398
35,36,4319
46,40,3673
47,39,1815
53,45,2495
55,36,34516
50,43,3368
38,28,7225
39,30,5202
39,29,1923
39,36,6929
49,44,4364
45,38,2400
55,36,25878
44,24,11876
49,39,4568
41,31,4740
49,42,4949
45,36,11189
44,31,34516
65,55,6099
35,27,3575
26,36,3184
38,24,13363
65,36,2163
58,54,3452
47,41,4466
33,25,3030
54,39,2112
35,18,7583
47,27,11760
35,17,2259
48,36,19762
36,17,2803
44,36,25666
44,24,9297
36,25,2999
64,56,4234
34,28,15987
49,33,16435
37,24,5335
65,53,3506
53,36,3610
32,28,3172
44,34,8206
65,46,2416
60,41,2458
27,36,1677
52,45,11819
42,37,34516
29,36,1459
29,13,1458
38,32,1438.3
36,18,7758
40,30,10836
47,36,5062
36,30,3399
26,36,2212
43,36,3186
52,32,5927
49,34,5176
50,37,3126
34,21,4670
53,36,2162
49,42,10155
53,46,15242
48,36,34516
32,17,1438.3
38,36,34516
43,32,16043
51,44,3181
58,47,27088
59,36,5688
51,38,10462
62,53,5249
38,36,5155
33,16,10705
54,47,16494
37,30,6469
30,23,5146
61,50,2800
49,36,5159
56,46,5248
51,46,5881
44,36,1467
64,52,4999
46,36,4668
39,36,1438.3
38,27,8638
53,45,9343
35,21,2256
26,15,8267
32,20,2235
36,16,3735
48,38,2111
55,36,10604
52,42,21782
52,36,2133
58,47,16677
38,36,2717
60,48,3980
55,36,8411
43,36,2227
35,29,34516
38,36,1860
48,35,2829
38,36,3764
43,23,4559
36,25,4701
34,22,1631
39,36,8096
43,29,2304
48,36,5210
44,38,5452
38,31,7475
62,56,2359
30,25,4237
39,33,18582
53,37,7202
64,56,1438.3
51,34,11221
32,26,18889
52,48,2066
43,31,34516
40,27,2742
54,36,20050
34,30,3046
33,25,6193
36,28,5634
65,50,4507
43,33,3040
53,33,21006
48,38,7326
39,36,3651
57,47,3416
51,36,3664
48,42,6085
51,38,22332
26,13,2063
38,32,4429
35,26,3991
46,36,2201
48,36,2852
49,37,9723
35,27,5325
65,56,7427
53,36,5619
54,44,5413
64,36,7646
39,30,2420
50,30,4252
54,49,2031
38,28,6861
39,28,3327
53,41,2885
53,41,7272
32,36,34516
57,47,2515
65,36,2798
57,53,34516
65,56,1438.3
65,56,12609
55,50,19159
54,42,9642
44,37,8396
58,50,6978
53,47,2459
33,24,12956
47,39,7128
51,41,18749
38,18,2193
57,50,4522
36,28,2157
35,25,11927
55,50,11341
57,47,7345
56,51,6036
38,27,2096
54,49,1906
48,35,5039
53,42,6214
30,17,1512
47,38,34516
60,53,3346
54,49,34516
37,28,6660
32,20,2234
44,33,9671
53,47,6605
43,33,3083
49,31,5456
38,14,4394
56,44,4088
26,36,3930
58,46,4188
33,22,3637
35,28,11521
37,32,2253
27,13,2339
43,37,30503
49,36,4596
49,43,5701
39,32,3221
41,29,3022
32,36,2699
58,39,2210
56,49,1438.3
37,36,2041
39,34,3250
26,13,1643
31,36,34516
46,34,29543
36,29,3158
39,36,2899
53,36,2972
38,23,5645
37,36,2463
47,41,1438.3
56,36,34516
55,48,2897
31,36,5391
62,36,2870
34,25,23959
33,25,14918
38,29,3590
65,56,2297
57,53,25058
58,36,7418
60,49,3012
39,24,4562
39,27,10723
39,36,1578
60,49,2094
37,19,4138
41,30,5417
56,36,34516
60,54,9592
56,36,8881
62,54,1438.3
41,33,3893
44,38,3242
59,53,6035
55,36,17642
26,15,4327
40,22,34516
44,32,4852
37,28,7147
37,27,10320
65,49,3297
46,36,9981
53,36,3329
56,36,5991
48,30,3235
34,21,6259
65,56,2541
55,43,21351
32,36,8998
58,42,10247
54,42,20311
52,33,33182
36,16,1686
56,36,4742
33,36,1726
61,56,8420
61,49,3352
43,39,6648
48,36,2335
36,27,12397
34,26,1438.3
53,46,2240
43,33,5330
61,51,1795
55,47,5741
51,39,2002
38,19,25662
52,36,22103
36,17,1438.3
45,30,12355
34,29,2000
27,17,8713
49,36,9165
43,31,11583
52,32,1438.3
31,20,8149
40,29,3616
39,31,8434
45,25,9791
37,24,8444
49,43,2228
56,36,12211
62,51,1438.3
37,31,1586
42,37,2247
36,30,2789
59,53,4241
40,29,8398
43,36,4112
29,22,15578
42,36,4008
63,50,12766
36,24,3438
53,43,16692
36,36,4066
36,30,13080
26,36,1934
45,36,3230
55,36,3615
61,36,1801
26,36,2665
40,25,28822
38,24,14632
32,36,6715
53,46,6658
52,44,3360
29,14,14853
38,25,4800
27,17,4610
46,36,1438.3
57,42,8377
42,30,4147
62,55,2644
37,30,13355
57,36,3251
35,36,2100
55,50,3566
56,49,14915
39,27,13003
64,55,2492
37,31,1758
34,23,5510
46,36,17196
65,46,5877
36,31,7667
35,24,2939
49,31,5898
46,33,19995
26,36,2773
52,44,3323
38,28,16049
37,28,3601
33,25,2307
59,36,3742
34,29,2937
39,26,3209
59,53,12554
50,34,4702
26,14,5645
32,13,14308
51,46,4882
41,29,33405
39,27,2700
49,37,2934
30,14,1548
40,36,5525
36,36,5750
56,36,27157
37,36,12830
51,41,5530
36,30,2684
62,49,2437
31,24,3827
42,35,34516
38,33,5940
45,32,13162
50,37,1963
58,54,18713
35,22,3023
58,53,6103
42,34,10607
32,24,2917
35,30,34516
51,42,25197
63,36,2743
42,32,4111
36,18,3667
42,33,3178
37,22,5674
38,36,11444
29,36,1438.3
54,34,6387
33,20,5657
63,54,11827
49,37,2608
44,37,3203
33,36,34516
57,38,2472
52,43,2147
52,44,3416
39,36,8058
50,43,3410
43,37,19044
36,30,1606
55,36,24336
30,20,5030
36,24,24577
26,13,3517
48,36,7400
53,36,2956
42,30,3578
53,36,12778
58,45,1942
32,26,29961
48,35,33791
48,34,17657
54,44,2821
59,47,1479
35,36,1438.3
37,27,6859
36,36,3404
26,15,2158
35,22,1890
40,36,18386
55,36,3602
39,34,3766
39,32,5634
46,29,3126
49,42,3017
32,26,5478
35,20,13046
39,31,8687
53,40,6174
26,13,5655
32,26,5397
54,46,28465
36,27,3444
45,37,2104
49,37,15610
44,32,34516
32,22,16912
64,53,5462
37,27,2868
31,22,2685
49,36,5238
32,22,4561
53,39,13091
62,51,10826
26,13,2600
49,35,2561
30,36,7087
34,36,34516
41,32,10266
27,36,1553
33,23,6732
56,37,12181
36,27,7056
35,25,14365
27,36,11473
46,38,23996
48,33,2998
54,36,30011
38,31,2405
36,26,21927
56,36,3906
32,27,10029
36,30,4934
35,15,13882
26,13,2347
32,24,4116
56,36,13904
54,43,32558
54,44,12902
37,36,2509
38,22,2484
35,36,2780
39,34,5219
48,36,18102
29,18,4532
33,28,22399
39,34,4489
35,25,10329
43,36,2637
27,22,1864
52,47,13276
31,25,1935
45,37,6784
35,36,19127
55,37,32641
61,47,1438.3
37,31,2417
38,34,19259
54,50,3796
40,22,4042
47,34,17603
55,46,2894
37,26,16730
36,27,3282
53,41,15815
26,21,1672
45,36,8121
36,26,3182
60,49,3182
30,36,5061
39,28,6224
33,36,2735
48,36,2464
39,33,3477
38,24,3242
47,41,27858
26,20,1438.3
49,36,34516
38,22,6361
30,21,2490
53,44,14057
49,38,2461
35,21,7766
40,33,21308
30,36,4516
42,30,5424
62,36,1764
50,46,1493
56,43,17539
45,36,34516
35,25,2149
57,44,6256
33,25,11922
43,38,4075
53,36,7290
50,36,5965
30,13,9007
37,36,6077
37,29,1808
45,36,12810
58,45,3421
63,53,3118
43,37,20013
26,13,4395
37,32,9661
53,44,1973
55,49,9926
36,36,4108
51,36,20741
36,24,16335
35,17,4588
34,24,5712
57,36,5335
54,49,13184
29,20,8592
37,26,1910
53,45,6210
36,31,2220
49,41,20756
64,55,2895
53,36,3539
52,44,9274
35,26,3187
37,24,2802
50,36,2334
65,56,1438.3
53,44,3519
53,48,3088
40,36,34516
39,31,11906
53,36,11098
36,22,2224
35,36,3454
37,36,5723
36,36,9239
39,24,4061
65,56,4189
45,32,6373
38,33,2228
36,24,3261
40,24,8014
35,29,10980
54,42,3092
40,29,14315
59,46,1648
26,13,1730
46,35,13768
29,19,1709
38,19,1705
31,25,8673
35,21,6391
56,45,11102
34,28,24765
42,27,31864
29,36,5346
32,21,2801
37,27,3148
36,36,2786
37,24,11894
38,29,7535
52,35,33180
62,51,2986
35,23,6729
36,36,2601
54,45,3380
27,18,2730
26,15,3324
56,45,2665
60,47,5015
54,36,6905
48,41,5848
33,26,19136
64,55,3500
35,24,7453
54,43,6266
29,23,4945
33,21,27992
34,36,3735
48,36,6703
38,27,6162
42,36,3337
55,36,2205
62,43,4450
33,28,1438.3
38,18,2172
39,29,4323
56,45,4145
36,18,2032
29,19,7010
57,50,3205
55,36,16547
51,45,5930
57,39,7469
56,45,2235
26,13,2047
36,21,34516
53,44,2636
41,32,6425
26,13,2902
51,42,4002
34,26,5175
65,48,4599
52,43,31258
54,45,2683
37,30,11638
40,20,1829
55,36,8276
45,34,23539
37,31,2352
30,36,11371
55,36,2857
36,27,34516
39,35,6690
34,28,4439
47,36,5344
42,37,27310
61,50,2531
31,22,9096
40,33,34516
42,32,7169
54,36,5399
52,47,2280
31,21,6315
43,33,4402
49,34,27732
45,36,4947
38,28,3946
57,52,12291
63,53,3067
42,36,1438.3
61,47,8633
37,28,2394
61,49,11374
35,28,6921
57,52,2564
64,55,2720
39,36,9843
28,13,21691
53,45,1826
39,24,5746
35,27,2926
47,36,7061
47,35,5589
38,33,9620
26,15,2539
37,28,3642
57,39,3451
38,36,1841
39,25,5764
35,16,18278
38,33,16059
56,41,5887
36,31,3152
39,28,12464
58,36,4784
28,36,1950
65,56,7478
26,20,1438.3
28,36,1707
30,13,4016
31,19,2370
57,36,3478
43,32,1539
26,20,1438.3
39,26,3142
35,36,17236
52,36,1438.3
33,20,13206
53,41,2480
30,19,2898
59,51,1570
65,56,4460
33,22,1544
52,44,3456
26,16,2751
52,44,4153
37,36,3685
56,49,8902
35,26,2944
58,47,2232
34,29,1569
37,26,23622
53,40,3326
38,31,6116
38,25,11352
28,36,14910
39,27,17531
43,29,4138
36,36,8374
38,28,7049
37,27,3851
37,30,15936
29,19,2926
51,36,10305
54,42,2987
35,29,34516
38,28,6275
33,27,7185
45,36,3281
61,54,3077
33,16,2042
55,51,2001
34,36,3625
58,47,7803
38,30,5951
59,50,15796
57,36,7558
55,46,5381
63,55,3556
60,55,2661
53,36,3506
35,24,2066
53,42,8329
58,48,2774
33,36,4134
53,36,11329
59,53,9055
37,32,17393
50,43,5908
35,21,5825
28,16,3665
37,31,3797
39,28,3478
31,20,13734
37,23,3034
39,32,2973
38,31,24296
35,30,8969
30,36,2550
48,35,10357
33,21,1475
47,36,5154
37,36,3586
38,28,4646
39,28,1640
34,36,2379
65,56,3422
43,28,4365
38,33,32938
48,44,6710
38,36,2507
65,56,6184
36,29,2029
35,17,16659
58,46,2203
54,38,5122
53,48,3074
38,36,2584
31,26,2037
34,29,14938
38,31,2014
39,34,1818
37,36,14926
51,43,2827
53,42,2773
53,41,16033
65,54,3213
33,26,3616
37,30,5924
47,41,14535
59,49,2833
59,49,1479
34,29,1617
26,13,2237
45,40,2900
54,45,13126
52,40,8695
47,41,6692
57,36,2159
34,27,2501
36,27,6338
36,30,2190
57,49,7578
29,18,2963
37,20,8260
46,36,8309
55,35,3864
56,47,10230
32,27,22382
39,36,25790
63,53,2675
49,38,1652
38,26,5815
60,52,2595
38,36,3421
63,51,6922
43,36,6979
39,34,2594
35,24,16915
45,39,34516
35,29,2523
48,39,6235
26,13,1473
36,26,17116
37,17,4631
39,19,3047
49,37,32338
56,36,2253
45,38,16611
34,36,22886
29,14,3544
28,19,3480
65,56,3549
26,15,1438.3
57,36,3136
47,36,34516
54,48,6814
48,32,34516
36,36,8500
43,33,28170
54,48,6610
37,26,15755
33,36,2711
38,25,3735
36,36,10216
40,28,20420
37,30,13662
26,13,3038
45,35,7050
26,13,1775
42,30,8960
33,36,2355
57,47,6803
55,50,2145
40,36,3919
32,23,4500
62,54,2941
26,13,7102
37,26,6866
57,52,10378
47,43,13473
47,34,18178
48,43,8171
49,36,1438.3
35,20,8082
57,48,24589
62,49,30310
55,36,2967
36,17,3092
54,42,1618
30,23,2498
46,41,2564
43,34,10540
34,28,13384
55,48,16208
36,27,3049
44,33,19214
39,25,3071
34,29,13395
40,31,17126
42,36,8083
36,28,8995
26,13,2404
42,32,2807
55,36,3097
45,37,10651
61,47,2175
41,28,28020
35,23,2640
34,27,31313
37,31,7304
46,32,3254
26,21,1438.3
54,41,3161
47,36,7246
56,36,3088
42,32,13719
30,18,4726
32,36,6100
40,28,19279
33,20,3792
64,53,2084
33,28,34516
52,43,6849
59,39,2417
41,33,5802
38,31,2919
29,20,2462
43,38,1947
40,29,18563
37,36,3992
32,14,3568
36,27,7776
58,42,1438.3
53,36,9355
37,32,19636
